"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ZI000067964","1962-10-30","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  350",",,I","  172",",,I","  288","H,,S"
"ZI000067964","1962-10-31","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  200",",,I","  273","H,,S"
"ZI000067964","1962-11-01","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  300",",,I","  178",",,I","  243","H,,S"
"ZI000067964","1962-11-02","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  161",",,I","  258","H,,S"
"ZI000067964","1962-11-03","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  317",",,I","  167",",,I","  258","H,,S"
"ZI000067964","1962-11-04","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  317",",,I","  172",",,I","  261","H,,S"
"ZI000067964","1962-11-05","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  267",",,I","  194",",,I","  228","H,,S"
"ZI000067964","1962-11-06","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  267",",,I","  178",",,I","  222","H,,S"
"ZI000067964","1962-11-07","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  278",",,I","  172",",,I","  230","H,,S"
"ZI000067964","1962-11-08","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","  150",",,I","  242","H,,S"
"ZI000067964","1962-11-09","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  160",",,I","  289",",,I","  167",",,I","  206","H,,S"
"ZI000067964","1962-11-10","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  239",",,I","  283",",,I","  156",",,I","  221","H,,S"
"ZI000067964","1962-11-11","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","  161",",,I","  234","H,,S"
"ZI000067964","1962-11-12","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  317",",,I","  156",",,I","  260","H,,S"
"ZI000067964","1962-11-13","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  333",",,I","  172",",,I","  246","H,,S"
"ZI000067964","1962-11-14","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  340",",,I","  306",",,I","  189",",,I","  228","H,,S"
"ZI000067964","1962-11-15","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  310",",,I","  261",",,I","  167",",,I","  210","H,,S"
"ZI000067964","1962-11-16","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  500",",,I","  261",",,I","  167",",,I","  207","H,,S"
"ZI000067964","1962-11-17","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  201",",,I","  261",",,I","  156",",,I","  215","H,,S"
"ZI000067964","1962-11-18","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","   20",",,I","  200",",,I","  139",",,I","  171","H,,S"
"ZI000067964","1962-11-19","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  109",",,I","  278",",,I","  144",",,I","  212","H,,S"
"ZI000067964","1962-11-20","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  460",",,I","  250",",,I","  167",",,I","  197","H,,S"
"ZI000067964","1962-11-21","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","  150",",,I","  232","H,,S"
"ZI000067964","1962-11-22","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  272",",,I","  178",",,I","  229","H,,S"
"ZI000067964","1962-11-23","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  191",",,I","  267",",,I","  172",",,I","  201","H,,S"
"ZI000067964","1962-11-24","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  211",",,I","  267",",,I","  172",",,I","  211","H,,S"
"ZI000067964","1962-11-25","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","   20",",,I","  289",",,I","  161",",,I","  224","H,,S"
"ZI000067964","1962-11-26","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  167",",,I","  221","H,,S"
"ZI000067964","1962-11-27","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  156",",,I","  230","H,,S"
"ZI000067964","1962-11-28","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","   41",",,I","  256",",,I","  178",",,I","  218","H,,S"
"ZI000067964","1962-11-29","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  267",",,I","  161",",,I","  217","H,,S"
"ZI000067964","1962-11-30","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  278",",,I","  167",",,I","  219","H,,S"
"ZI000067964","1962-12-01","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  150",",,I","  232","H,,S"
"ZI000067964","1962-12-02","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  161",",,I","  235","H,,S"
