TMAX,TMIN,PRCP,SNWD,DATE,STATION
,   30,,,1975-01-29,AFM00040990
,,,,1975-01-30,AFM00040990
  110,,,,1975-02-05,AFM00040990
,,,,1975-02-06,AFM00040990
,   10,,,1975-02-07,AFM00040990
,   20,,,1975-02-08,AFM00040990
  140,  -10,,,1975-02-09,AFM00040990
,,,,1975-02-11,AFM00040990
,  -40,,,1975-02-13,AFM00040990
,,,,1975-02-14,AFM00040990
,  -50,,,1975-02-15,AFM00040990
,,,,1975-02-16,AFM00040990
,,,,1975-02-17,AFM00040990
,  -30,,,1975-02-19,AFM00040990
,  -10,,,1975-02-20,AFM00040990
,  -10,,,1975-02-21,AFM00040990
,,,,1975-02-22,AFM00040990
  170,   30,,,1975-02-23,AFM00040990
,,,,1975-02-24,AFM00040990
,   40,,,1975-02-25,AFM00040990
,   50,,,1975-02-26,AFM00040990
,   20,,,1975-02-28,AFM00040990
,,,,1975-03-01,AFM00040990
  230,   70,,,1975-03-02,AFM00040990
  200,,,,1975-03-04,AFM00040990
  170,,,,1975-03-05,AFM00040990
,  -20,,,1975-03-06,AFM00040990
,,,,1975-03-07,AFM00040990
,,,,1975-03-08,AFM00040990
,,,,1975-03-09,AFM00040990
,  -30,,,1975-03-12,AFM00040990
,   30,,,1975-03-13,AFM00040990
,,,,1975-03-14,AFM00040990
  240,   50,,,1975-03-15,AFM00040990
  240,   70,,,1975-03-18,AFM00040990
,   70,,,1975-03-19,AFM00040990
  240,   80,,,1975-03-21,AFM00040990
,,,,1975-03-22,AFM00040990
,,,,1975-03-23,AFM00040990
,   40,,,1975-03-24,AFM00040990
  210,   20,,,1975-03-25,AFM00040990
,,,,1975-03-26,AFM00040990
,,,,1975-04-04,AFM00040990
  200,,,,1975-04-05,AFM00040990
  180,   30,,,1975-04-06,AFM00040990
,,,,1975-04-08,AFM00040990
  320,,,,1975-04-09,AFM00040990
,   40,,,1975-04-10,AFM00040990
  250,,,,1975-04-11,AFM00040990
  250,   70,,,1975-04-12,AFM00040990
,,,,1975-04-13,AFM00040990
,   30,,,1975-04-14,AFM00040990
,,,,1975-04-15,AFM00040990
,,,,1975-04-16,AFM00040990
  320,,,,1975-04-17,AFM00040990
,  140,,,1975-04-18,AFM00040990
,,,,1975-04-19,AFM00040990
,  160,,,1975-04-20,AFM00040990
,,,,1975-04-21,AFM00040990
,,,,1975-04-22,AFM00040990
,,,,1975-04-23,AFM00040990
  320,  140,,,1975-04-24,AFM00040990
,  140,,,1975-04-25,AFM00040990
  240,  110,,,1975-04-26,AFM00040990
,,,,1975-04-27,AFM00040990
,,,,1975-04-28,AFM00040990
,,,,1975-04-29,AFM00040990
,  100,,,1975-04-30,AFM00040990
,  110,,,1975-05-01,AFM00040990
,,,,1975-05-02,AFM00040990
