TMAX,TMIN,PRCP,DATE,STATION
  261,  128,   53,1979-08-28,MXN00032112
  239,  117,  295,1979-08-29,MXN00032112
  233,  100,  178,1979-08-30,MXN00032112
  239,  100,    0,1979-08-31,MXN00032112
  228,  144,    0,1979-09-01,MXN00032112
  228,  133,   64,1979-09-02,MXN00032112
  239,  139,   53,1979-09-03,MXN00032112
  228,  128,  137,1979-09-04,MXN00032112
  239,  139,  150,1979-09-05,MXN00032112
  228,  150,   94,1979-09-06,MXN00032112
  250,  139,  157,1979-09-07,MXN00032112
  206,  156,    8,1979-09-08,MXN00032112
  239,  156,  244,1979-09-09,MXN00032112
  200,  128,    0,1979-09-10,MXN00032112
  217,  139,   33,1979-09-11,MXN00032112
  217,  150,   66,1979-09-12,MXN00032112
  206,  150,  249,1979-09-13,MXN00032112
  206,  150,    0,1979-09-14,MXN00032112
  217,  117,    0,1979-09-15,MXN00032112
  239,  139,    8,1979-09-16,MXN00032112
  239,  106,    0,1979-09-17,MXN00032112
  250,  106,    0,1979-09-18,MXN00032112
  228,  139,    0,1979-09-19,MXN00032112
  217,  139,    0,1979-09-20,MXN00032112
  239,  128,    0,1979-09-21,MXN00032112
  228,  106,    0,1979-09-22,MXN00032112
  217,  139,    0,1979-09-23,MXN00032112
  228,   78,    0,1979-09-24,MXN00032112
  217,  117,    0,1979-09-25,MXN00032112
  306,  106,    0,1979-09-26,MXN00032112
  239,  106,    0,1979-09-27,MXN00032112
  239,  117,    0,1979-09-28,MXN00032112
  239,  106,    0,1979-09-29,MXN00032112
  250,  117,    0,1979-09-30,MXN00032112
  250,   78,    0,1979-10-01,MXN00032112
  250,  100,    0,1979-10-02,MXN00032112
  250,  100,    0,1979-10-03,MXN00032112
  250,   78,    0,1979-10-04,MXN00032112
  250,   78,    0,1979-10-05,MXN00032112
  228,   67,    0,1979-10-06,MXN00032112
  250,   89,    0,1979-10-07,MXN00032112
  256,   78,    0,1979-10-08,MXN00032112
  250,  100,    0,1979-10-09,MXN00032112
  250,  100,    0,1979-10-10,MXN00032112
  256,  100,    0,1979-10-11,MXN00032112
  256,   89,    0,1979-10-12,MXN00032112
  256,   89,    0,1979-10-13,MXN00032112
  256,   89,    0,1979-10-14,MXN00032112
  261,   89,    0,1979-10-15,MXN00032112
  272,   94,    0,1979-10-16,MXN00032112
  272,   94,    0,1979-10-17,MXN00032112
  261,   89,    0,1979-10-18,MXN00032112
  267,   94,    0,1979-10-19,MXN00032112
  267,   78,    0,1979-10-20,MXN00032112
  256,   78,    0,1979-10-21,MXN00032112
  278,   72,    0,1979-10-22,MXN00032112
  267,  106,    0,1979-10-23,MXN00032112
  267,   89,    0,1979-10-24,MXN00032112
  278,   89,    0,1979-10-25,MXN00032112
  250,   78,    0,1979-10-26,MXN00032112
  278,   78,    0,1979-10-27,MXN00032112
  250,   89,    0,1979-10-28,MXN00032112
  239,  100,   18,1979-10-29,MXN00032112
  211,  100,    0,1979-10-30,MXN00032112
  200,    6,    0,1979-10-31,MXN00032112
  206,    6,    0,1979-11-01,MXN00032112
  189,   56,    0,1979-11-02,MXN00032112
  200,   61,    0,1979-11-03,MXN00032112
  200,   67,    0,1979-11-04,MXN00032112
  239,   67,    0,1979-11-05,MXN00032112
  239,   67,    0,1979-11-06,MXN00032112
  228,   50,    0,1979-11-07,MXN00032112
  228,   39,    0,1979-11-08,MXN00032112
  217,   61,    0,1979-11-09,MXN00032112
