PRCP,SNOW,DATE,STATION
    0,    0,2021-08-08,US1KYSH0012
    0,    0,2021-08-09,US1KYSH0012
  234,,2021-08-10,US1KYSH0012
   71,,2021-08-11,US1KYSH0012
    0,,2021-08-12,US1KYSH0012
   81,,2021-08-13,US1KYSH0012
  254,,2021-08-14,US1KYSH0012
    5,,2021-08-15,US1KYSH0012
    5,,2021-08-16,US1KYSH0012
    0,    0,2021-08-17,US1KYSH0012
  226,,2021-08-18,US1KYSH0012
  145,,2021-08-19,US1KYSH0012
  490,,2021-08-20,US1KYSH0012
    0,    0,2021-08-21,US1KYSH0012
    0,    0,2021-08-22,US1KYSH0012
    0,    0,2021-08-23,US1KYSH0012
    0,    0,2021-08-24,US1KYSH0012
    0,    0,2021-08-25,US1KYSH0012
    0,    0,2021-08-26,US1KYSH0012
    0,    0,2021-08-27,US1KYSH0012
   20,,2021-08-28,US1KYSH0012
    0,    0,2021-08-29,US1KYSH0012
    0,    0,2021-08-30,US1KYSH0012
  277,,2021-08-31,US1KYSH0012
  401,,2021-09-01,US1KYSH0012
    0,    0,2021-09-02,US1KYSH0012
    0,    0,2021-09-03,US1KYSH0012
    0,    0,2021-09-04,US1KYSH0012
  127,,2021-09-05,US1KYSH0012
   84,,2021-09-06,US1KYSH0012
    0,    0,2021-09-07,US1KYSH0012
